id,school_name,logo,address,data_file,boundary_file,photos_folder
wildav,Robert E Willett Elementary,https://github.com/luforestal/WilletMap/blob/main/school_logo.png,"1207 Sycamore Ln, Davis, CA 95616",trees/wildav.csv,boundaries/wildav.geojson,photos_wildav
coocol,Cooley Ranch Elementary School,"https://resources.finalsite.net/images/f_auto,q_auto,t_image_size_1/v1706739515/coltonk12caus/m1k2du3ug8oagggqdqxe/School_Logos_Color_Cooley1.png","1000 S Cooley Dr E, Colton, CA 92324",trees/coocol.csv,boundaries/coocol.geojson,photos_coocol
