treecode,genus,species,dbh,crownNSm,crownEWm,height,lon,lat
A76,Zelkova ,serrata,23.2,8.1,9.2,8,-121.7666605,38.55498096
A77,Zelkova ,serrata,26.1,9,8.7,8.9,-121.7666581,38.55507
A78,Cedrus ,deodara,42.4,14,7.7,18.8,-121.7673681,38.55488004
A79,Cedrus ,deodara,40.6,11.2,9.4,16.1,-121.7673813,38.55479429
A80,Sequoia ,sempervirens ,25.8,7.4,5.3,11.6,-121.7673769,38.55472944
A81,Cedrus ,deodara,28.6,10.8,6.3,15.6,-121.7673705,38.554683
A82,Cedrus ,deodara,30,12.4,9.7,19,-121.7673728,38.55456074
A83,Cedrus ,deodara,34,11.6,7.9,15,-121.7673697,38.55447201
A84,Cedrus ,deodara,51,12.8,10.5,22.4,-121.7673728,38.55438314
A85,Cedrus ,deodara,30.5,9.8,7.3,17.5,-121.7673885,38.55406581
A86,Quercus ,lobata,13.2,3.4,4,8.4,-121.76731,38.55399736
A87,Quercus ,lobata,15.7,3.7,5.4,9.6,-121.7672015,38.55400218
A88,Quercus ,lobata,30,8.1,8.2,11.6,-121.7671328,38.55397216
A89,Quercus ,lobata,9.5,3.8,3.7,6.2,-121.7671439,38.55387976
A90,Quercus ,lobata,10.1,4.1,4.4,6.6,-121.7672688,38.55392063
A91,Salix ,babylonica,,,,13,-121.7673367,38.55383495
